Text,Spend,Impressions,Clicks
"Ultimately, of the 600 landslides discovered, we have no way to know when they will become catastrophic. The difference is we know where they are, and policymakers on the West Coast can plan ahead of the disasters.",0.0,1,0
How can we attack infected cancer cells without collateral damage to normal cells? A team of researchers from SMU has found an answer by tapping into the fundamental basis of new anti-cancer treatments.,1.46,256,13
Screening protocols to determine who qualifies for “compassionate dialysis” are driving an unintended consequence. The protocols are putting too much strain on the emergency room but understanding the problem can uncover the solution.,0.0,1,0
A multidisciplinary approach to data science and public health paved the way for city leaders to improve the quality of life for residents in infrastrucure deserts in Dallas.,0.0,3,0
“I picked SMU because it was just an amazing environment where I felt like I could be home and become the best version of myself.” Learn more about how you can make your own story at SMU.,0.0,0,0
"We have really tried to make this a very homey, comfortable place where students can really be who they are and get acceptance for who they are.” Learn more about what life on the Hilltop is all about.",0.0,0,0
"“When I stepped out to the uncomfortable and just decided to get more involved, that’s when I realized, ‘this is a good thing.’” Learn more about what life on the Hilltop is all about.",0.0,0,0
"For one day, we can shape a brighter future. Make your move.",0.0,0,0
"There she goes again. Neha Husein '19 was selected as the first winner of the WEDallas inaugural pitch competition, a decision that completed a two-month cohort for women entrepreneurs.",0.0,0,0
"Igniting the future of football on The Hilltop. A $50 million commitment from Garry A. Weber ’58, is the largest gift in the history of SMU Athletics to create a 192,500-square-foot Garry Weber End Zone Complex at Gerald J. Ford Stadium.",0.0,0,0
"Could a company train an employee to become more conscientious, even if the worker isn’t invested in improving that trait? A new study suggests yes.",0.0,0,0
"From the beaches of Australia to the bayous of Louisiana, Isabelle finds her inspiration in the places where water meets land. Her next step will take her to further her studies on climate and policymaking at both Oxford and Durham Universities in England.",0.0,0,0
Using a single drop- Lab on a Chip can detect immune responses to antibodies in two to three minutes.,0.0,0,0
Tapping in to a small device's big possibilities. Lab on a Chip is an antibody test that could revolutionize medical response to future crises.,7.59,1227,2
"A research team from the Lyle School of Engineering decided to put the pandemic to work. The ""Lab on a Chip"" presents a fast, affordable solution to detect immune response to antibodies, a game changer for future public health crises.",3.13,164,3
"When it comes to planning for the future, it helps to have a strong community supporting you every step of way.",3.2,762,1
"""I've always been the guy with the camera."" His creative collaborations have set a tone on the Hilltop and across Dallas.",0.0,0,0
Mohammed came to the Hilltop with a bold idea: bring reliable energy to his country. He tapped into resources available and it blossomed into a partnership with the Gambian government. He’ll soon head home to expand it on a national scale.,1.33,465,0
"Investing in our community’s children – the problem solvers of the future. The next step of our partnership with Dallas ISD and the Toyota Foundation is the opening of the West Dallas STEM School, planned for August 2021.",0.0,0,0
Don't limits on what your mind wants to explore. The results can change lives.,33.81,2989,38
SMU researchers have developed a set of computer-driven routines that can mimic chemical reactions in a lab. These cut the time and labor-related expense frequently required to find the best possible drug for a desired outcome.,10.23,1432,16
Thousands of Texas students were missing from pre-K and kindergarten classrooms because of the pandemic. We're helping develop quick assessments for teachers to get them on track.,0.02,3,0
Diem-Tho mastered the Mustang mashup with support from University scholarships and stipends.,1.17,547,1
SMU astrophysicist discovered a particularly bright gamma-ray burst using a NASA telescope. It’s the first time a gamma-ray burst has been found this way.,0.0,0,0
"We're using data to change the future of the fashion industry. The interdisciplinary approach brings together engineers, data scientists, supply chain modelers, and journalists to find solutions to address how the industry’s decisions affect water pollution and landfill waste.",17.74,1297,70
"In 2014, Whitney Wolfe Herd '11 thought her career was over. Instead, she trusted her instincts and set out to reinvent the Internet for women.",0.01,12,0
"When creating Bumble, Whitney Wolfe Herd '11 went to her friends and community from her college days. Now, she's the youngest woman to take her company public. And every step of the way, she's had a community of Mustangs running alongside her.",3.51,1703,2
Doran I.G. Bennett has received a Human Frontier Science Program grant to study how photosynthesis uses sunlight to support growth in changing environments.,0.11,36,0
"A $15 million gift from Sharoll and Bryan S. Sheffield ’01 will establish Bryan S. Sheffield Hall, creating innovative learning environments for students.",0.0,0,0
"Spread the word about SMU Giving Day! Share this video from now until April 13. One entry will be randomly selected and notified to choose one fund to receive an extra $1,000.",0.0,0,0
"Thanks to the generous support for our community, challenges and matches give you the opportunity to maximize your impact. Find your cause, then check out the list of day-long challenges to participate and show the world what Mustangs can do in one day.",0.0,0,0
"Sheffield Hall will also serve as the new hub for our Bachelor of Business Administration program, including BBA admissions, academic advising and student records.",0.08,17,0
"Help us spread the word about SMU Giving Day! Share this video and use #SMUOneDay before April 13. One entry will be randomly selected and notified to choose one fund to receive an extra $1,000.",0.01,1,0
"For one day, let's show the world what Mustangs can do.",0.0,0,0
Multi-year partnership will utilize SMU's machine learning and human machine teaming to revolutionize future battlespace and warfare strategies.,41.41,5890,59
"With this gift, we can double the current offerings of the Lyle Engineering Scholar’s Program.",2.42,513,4
"Looking for a direct route to your next adventure? Check your email inbox, find the SMU Graduation Follow-up Survey, and spend five minutes filling it out for your chance to be one of 40 responders to win a $300 Southwest Airlines gift card!",0.07,3,0
$5 million gift includes $2.5 million to endow four Templeton Ph.D. Fellowships and cover their initial operating funds for the first five years.,1.05,82,0
Explore the lasting impact of art and activism.,0.02,27,0
Let’s be honest. Sharing a dorm room with anyone is awkward at first. So how do roommates get past that and begin to bond? It usually boils down to respect.,0.0,0,0
How did these random roommates become valued friends and business partners? Sometimes you just click.,3.43,1299,6
"Aanika Gupta ’22 never considered herself a leader, but when she saw a need for change, she stepped up in her Residential Commons.",9.86,2832,20
"We asked: What makes a great roommate? Responses covered the gamut, but it really boils down to respect.",0.16,16,1
Sometimes the connection you need is the connection you didn't see coming. Two adventurous undergraduates selected random roommates and ended up finding a lifelong friendship.,2.89,495,4
"Your place. Your space. Your home. We give you the pieces, the next step is yours.",0.03,9,0
"Piece by piece, SMU paleontologist Louis Jacobs and his team of undergrads have uncovered an underwater world teeming with spectacular creatures.",0.0,0,0
"Simply put, we believe in the Human Right’s Program’s mantra: ‘There is no such thing as a lesser person.'"" -J.D. Dell, managing director and partner at Big Path Capital",0.0,0,0
The project focus is on the transmission of tuberculosis however its broader societal impacts include potential applications to other infectious diseases such as influenza and COVID-19.,0.0,0,0
"Piece by piece, SMU paleontologist Louis Jacobs and a small army of undergrads have helped uncover an underwater world teeming with spectacular creatures.",0.0,0,0
The North Texas Center for Mobility Technologies is intended to strengthen the universities’ capabilities in the transportation sector and to attract mobility technology companies to the region.,0.32,88,0
Dr. Thornton and Dr. MacFarlane will use the grants to investigate new theoretical approaches to enhancing cybersecurity using quantum information and to leverage these approaches to build quantum photonic integrated circuits.,3.67,684,24
"We've taken another step in entering a new era of bold research. Supported by a $100 million gift from the Moody Foundation, SMU breaks ground on the new Frances Anne Moody Hall, which will house the Moody School of Graduate and Advanced Studies.",37.72,5347,38
"Army and Air Force Reserve Officers’ Training Corp (ROTC) students at SMU with full-tuition ROTC scholarships are now eligible for a new SMU scholarship that will cover the full cost of their campus housing and dining. When combined, these scholarships will cover all costs for tuition, fees, housing and dining.",0.0,0,0
"SMU is collaborating with @[8409118252:274:NVIDIA], investing $11.5 million to dramatically boost the University’s high-performance computing system. It’s a game-changer for artificial intelligence research, with real benefits for North Texas’ growth as a technology hub.",0.05,14,0
"SMU is propelling north Texas into the AI era with an @[8409118252:274:NVIDIA] DGX SuperPOD. The accelerated supercomputer is expected to power projects in machine learning for our sprawling metro community with more than 12,000 students and 2,400 faculty and staff.",4.88,1368,1
"How one student studying in Dallas, traveled to Washington D.C. and worked with a business in Uganda. Nia Kamau '22 embraced her opportunity to think outside the box and build sustainable solutions for the developing world.",0.01,1,0
"Calling all Houston-area Mustangs! Join us Friday, October 29 as we continue building on a century of excellence with the Houston kickoff of SMU Ignited: Boldly Shaping Tomorrow.",0.0,0,0
"Tucked inside a lab on campus, Zhihao Wu is studying cells that could change the way the science community thinks of glioblastoma treatment.",5.48,601,15
"While we can't go to Titan, we can bring Titan to us. Researchers recreated Saturn's largest moon’s conditions in small glass cylinders to better understand two minerals on this icy world.",0.05,12,0
"Help us create a mosaic of the SMU spirit. Using the link, share a photo of your Mustang pride on full display: https://bit.ly/39dWvzV Then, in the comments, tell us what excites you most about SMU’s future impact on the world. Everyone who expresses their support by adding to the mosaic will be entered into a drawing to receive a t-shirt featuring the campaign logo that will be revealed by the completion of this mosaic.",0.0,0,0
This isn't Nessie but a prehistoric twin. A team of researchers has discovered the evolutionary development of the long-necked plesiosaur.,0.0,0,0
"Looking up to the sky, it's natural to wonder if we're alone in the universe. For NASA, studying icy worlds like Jupiter’s moon Europa is a target to determine the answer. So, how will we do it? Meet Frosty the Seismometer.",26.86,3697,80
"As wildfires and the devastation that follows worsens each year, can we find a way to coexist with them? Today’s flammable landscapes have long human histories that have much to teach us.",0.0,0,0
"As an SMU student, Stuart Palley '11 never envisioned a career kindled by fire. Now he captures them through his lens for acclaimed publications around the nation.",0.0,0,0
"Five years and 45 fires, Stuart Palley '11 captures photos that burn in your memory and spark conversations about the reality of living with wildfires.",0.22,22,1
"Five years and 45 fires, Palley's photos burn in your memory and spark conversations about the reality of living with wildfires.",0.0,0,0
Investing in the future of research coming from The Hilltop.,0.0,3,0
"Stories connect us and help us see our journey through the words of others. In her work, Candice Bledsoe has harnessed the power of storytelling to inspire, engage and educate the next generation.",0.0,2,0
"""This partnership will also create invaluable opportunities for our SMU students...because it will put them in positions of visibility for recruitment in careers that support Department of Defense initiatives.""",0.5,107,2
"A ball of 4,000-year-old hair frozen in time tangled around a whalebone comb led to the first-ever reconstruction of an ancient human genome.",27.25,4397,226
"A drop is applied to a microfluidic chip. Then two to three minutes later, you can efficiently detect antibodies in the plasma.",45.54,2862,113
